tenure,InternetService,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,AverageCharges,Churn
8,Fiber optic,No,Month-to-month,Electronic check,100.85,819.55,102.44,1
4,DSL,No,Month-to-month,Electronic check,50.3,217.1,54.28,0
63,Fiber optic,No,Month-to-month,Credit card (automatic),80.3,4896.35,77.72,0
72,No,No internet service,Two year,Bank transfer (automatic),19.85,1434.1,19.92,0
46,No,No internet service,Two year,Electronic check,21.1,937.1,20.37,0
5,Fiber optic,No,Month-to-month,Electronic check,69.95,330.15,66.03,1
30,DSL,No,Month-to-month,Mailed check,50.0,1474.9,49.16,0
63,Fiber optic,No,Two year,Bank transfer (automatic),104.75,6536.5,103.75,0
60,No,No internet service,Two year,Bank transfer (automatic),19.85,1128.1,18.8,0
63,Fiber optic,No,One year,Electronic check,107.5,6873.75,109.11,1
25,Fiber optic,Yes,Month-to-month,Electronic check,85.9,2199.05,87.96,0
1,DSL,No,Month-to-month,Mailed check,45.85,45.85,45.85,1
6,Fiber optic,No,Month-to-month,Electronic check,80.8,457.1,76.18,0
22,No,No internet service,Two year,Mailed check,25.25,566.5,25.75,0
31,DSL,Yes,Two year,Bank transfer (automatic),80.55,2471.6,79.73,0
39,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),81.5,3107.3,79.67,0
26,No,No internet service,Month-to-month,Mailed check,20.9,518.3,19.93,0
53,Fiber optic,No,One year,Bank transfer (automatic),106.1,5769.75,108.86,1
1,Fiber optic,Yes,Month-to-month,Electronic check,91.7,91.7,91.7,1
12,DSL,Yes,Month-to-month,Electronic check,67.25,832.3,69.36,0
16,Fiber optic,No,Month-to-month,Credit card (automatic),95.6,1555.65,97.23,1
2,No,No internet service,Month-to-month,Mailed check,20.35,45.3,22.65,0
39,DSL,Yes,One year,Bank transfer (automatic),45.05,1790.6,45.91,0
1,Fiber optic,No,Month-to-month,Electronic check,74.95,74.95,74.95,1
7,DSL,Yes,Month-to-month,Mailed check,34.65,246.6,35.23,0
4,Fiber optic,No,Month-to-month,Electronic check,69.35,261.65,65.41,0
10,Fiber optic,No,Month-to-month,Electronic check,95.35,898.35,89.84,1
55,Fiber optic,No,Month-to-month,Electronic check,81.55,4509.5,81.99,0
72,DSL,No,Two year,Bank transfer (automatic),75.4,5480.25,76.11,0
10,DSL,No,Month-to-month,Credit card (automatic),67.8,653.15,65.32,0
11,Fiber optic,Yes,Month-to-month,Electronic check,111.4,1183.05,107.55,0
15,DSL,No,Month-to-month,Electronic check,46.3,639.45,42.63,0
23,No,No internet service,Two year,Bank transfer (automatic),20.4,478.75,20.82,0
1,No,No internet service,Month-to-month,Mailed check,20.05,20.05,20.05,0
3,DSL,No,Month-to-month,Electronic check,45.0,127.1,42.37,1
47,Fiber optic,No,One year,Electronic check,96.1,4391.45,93.44,0
15,No,No internet service,One year,Mailed check,19.65,270.6,18.04,0
66,Fiber optic,No,Month-to-month,Electronic check,99.5,6710.5,101.67,1
68,DSL,Yes,One year,Bank transfer (automatic),60.65,3975.9,58.47,0
17,Fiber optic,Yes,One year,Bank transfer (automatic),98.6,1704.95,100.29,1
7,DSL,Yes,Month-to-month,Mailed check,59.5,415.95,59.42,1
12,Fiber optic,No,Month-to-month,Electronic check,80.45,950.2,79.18,1
21,DSL,No,One year,Bank transfer (automatic),71.7,1497.05,71.29,0
21,DSL,Yes,Month-to-month,Mailed check,36.0,780.15,37.15,0
56,DSL,No,One year,Bank transfer (automatic),65.2,3512.15,62.72,0
6,DSL,No,Month-to-month,Credit card (automatic),48.95,273.25,45.54,0
65,DSL,No,Two year,Bank transfer (automatic),53.5,3517.9,54.12,0
42,DSL,Yes,One year,Credit card (automatic),80.45,3375.9,80.38,0
68,Fiber optic,Yes,Two year,Bank transfer (automatic),109.05,7508.55,110.42,0
48,No,No internet service,Two year,Bank transfer (automatic),26.3,1245.05,25.94,0
50,Fiber optic,Yes,One year,Electronic check,106.8,5347.95,106.96,0
7,DSL,No,Month-to-month,Electronic check,64.95,493.65,70.52,0
63,No,No internet service,Two year,Electronic check,19.35,1263.85,20.06,0
17,No,No internet service,Month-to-month,Credit card (automatic),21.1,385.55,22.68,0
42,Fiber optic,No,Month-to-month,Credit card (automatic),77.95,3384.0,80.57,1
4,No,No internet service,Month-to-month,Mailed check,18.85,84.2,21.05,0
62,No,No internet service,Two year,Bank transfer (automatic),26.0,1638.7,26.43,0
2,Fiber optic,No,Month-to-month,Electronic check,74.7,165.4,82.7,1
2,Fiber optic,No,Month-to-month,Electronic check,70.35,120.25,60.12,0
48,Fiber optic,No,Two year,Bank transfer (automatic),96.9,4473.45,93.2,0
27,No,No internet service,Two year,Bank transfer (automatic),19.55,520.55,19.28,0
70,DSL,Yes,Two year,Bank transfer (automatic),80.4,5717.85,81.68,0
1,Fiber optic,No,Month-to-month,Electronic check,88.8,88.8,88.8,1
46,Fiber optic,No,One year,Electronic check,94.65,4312.5,93.75,0
30,Fiber optic,No,Month-to-month,Electronic check,90.25,2755.35,91.84,1
15,DSL,No,Month-to-month,Bank transfer (automatic),64.65,994.55,66.3,1
69,Fiber optic,No,One year,Credit card (automatic),95.75,6511.25,94.37,0
65,No,No internet service,Two year,Credit card (automatic),19.55,1218.65,18.75,0
72,Fiber optic,Yes,Two year,Credit card (automatic),104.1,7447.7,103.44,0
13,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),89.05,1169.35,89.95,1
17,No,No internet service,One year,Mailed check,20.1,279.5,16.44,0
51,Fiber optic,Yes,One year,Electronic check,111.55,5720.35,112.16,0
51,DSL,Yes,Two year,Credit card (automatic),60.5,3121.45,61.2,0
72,DSL,Yes,Two year,Bank transfer (automatic),90.95,6468.6,89.84,0
67,Fiber optic,No,One year,Electronic check,87.4,5918.8,88.34,1
34,No,No internet service,Month-to-month,Mailed check,19.7,675.6,19.87,0
67,DSL,Yes,Two year,Bank transfer (automatic),50.95,3521.7,52.56,0
49,No,No internet service,One year,Bank transfer (automatic),20.05,923.1,18.84,0
53,No,No internet service,Two year,Mailed check,19.4,1110.35,20.95,0
27,DSL,Yes,Month-to-month,Electronic check,59.45,1611.65,59.69,0
23,Fiber optic,No,Month-to-month,Electronic check,94.75,2293.6,99.72,1
69,DSL,Yes,Two year,Credit card (automatic),81.5,5553.25,80.48,0
2,DSL,Yes,Month-to-month,Bank transfer (automatic),29.05,44.75,22.38,0
35,Fiber optic,No,Month-to-month,Electronic check,86.45,3029.1,86.55,1
46,DSL,Yes,One year,Mailed check,70.6,3231.05,70.24,0
54,Fiber optic,No,Two year,Bank transfer (automatic),97.2,5129.45,94.99,0
56,Fiber optic,No,One year,Electronic check,98.25,5508.35,98.36,1
9,Fiber optic,No,Month-to-month,Bank transfer (automatic),75.75,655.9,72.88,1
20,DSL,Yes,Month-to-month,Bank transfer (automatic),59.2,1191.2,59.56,0
11,Fiber optic,No,Month-to-month,Mailed check,75.9,866.4,78.76,0
30,Fiber optic,No,Month-to-month,Electronic check,90.05,2627.2,87.57,0
68,DSL,No,Two year,Bank transfer (automatic),70.95,4741.45,69.73,0
38,Fiber optic,No,Month-to-month,Electronic check,102.6,4009.2,105.51,0
17,Fiber optic,No,Month-to-month,Bank transfer (automatic),85.35,1463.45,86.09,1
48,Fiber optic,No,One year,Credit card (automatic),106.1,5082.8,105.89,1
1,DSL,No,Month-to-month,Electronic check,43.8,43.8,43.8,0
63,DSL,No,Two year,Electronic check,59.0,3707.6,58.85,0
3,DSL,No,One year,Electronic check,69.95,220.45,73.48,0
48,No,No internet service,One year,Bank transfer (automatic),24.35,1133.7,23.62,0
66,DSL,Yes,One year,Credit card (automatic),29.45,1983.15,30.05,0
68,Fiber optic,No,Two year,Credit card (automatic),84.4,5746.75,84.51,0
17,DSL,No,Month-to-month,Electronic check,45.05,770.6,45.33,1
7,No,No internet service,One year,Mailed check,20.65,134.05,19.15,0
72,DSL,Yes,Two year,Bank transfer (automatic),87.1,6230.1,86.53,0
29,No,No internet service,Month-to-month,Mailed check,19.85,573.05,19.76,0
37,Fiber optic,Yes,Month-to-month,Electronic check,90.35,3419.3,92.41,0
34,Fiber optic,No,Month-to-month,Mailed check,109.8,3587.25,105.51,1
42,Fiber optic,No,Month-to-month,Electronic check,84.65,3541.35,84.32,1
59,DSL,Yes,One year,Mailed check,65.5,3801.3,64.43,0
11,Fiber optic,No,Month-to-month,Bank transfer (automatic),79.5,868.5,78.95,1
60,Fiber optic,No,Month-to-month,Electronic check,80.95,4859.1,80.98,0
27,DSL,Yes,Month-to-month,Mailed check,56.15,1439.35,53.31,0
1,Fiber optic,No,Month-to-month,Mailed check,85.8,85.8,85.8,1
1,Fiber optic,No,Month-to-month,Electronic check,79.1,79.1,79.1,1
17,DSL,No,Month-to-month,Mailed check,34.4,592.75,34.87,0
58,No,No internet service,Two year,Mailed check,20.75,1185.95,20.45,0
1,No,No internet service,One year,Mailed check,18.8,18.8,18.8,0
3,DSL,No,Month-to-month,Mailed check,44.3,134.5,44.83,1
53,Fiber optic,No,Month-to-month,Electronic check,90.8,4921.2,92.85,0
35,No,No internet service,Month-to-month,Electronic check,25.6,901.25,25.75,0
50,Fiber optic,No,Month-to-month,Credit card (automatic),105.95,5341.8,106.84,1
68,DSL,Yes,Two year,Credit card (automatic),70.8,4859.95,71.47,0
47,No,No internet service,Month-to-month,Electronic check,25.4,1139.2,24.24,0
65,Fiber optic,No,Month-to-month,Bank transfer (automatic),108.8,7082.45,108.96,0
5,Fiber optic,No,Month-to-month,Electronic check,69.75,324.6,64.92,1
51,Fiber optic,No,Month-to-month,Electronic check,94.65,4812.75,94.37,1
46,Fiber optic,No,Month-to-month,Bank transfer (automatic),96.05,4399.5,95.64,1
9,Fiber optic,No,Month-to-month,Electronic check,76.85,663.55,73.73,0
8,No,No internet service,Two year,Mailed check,20.25,174.65,21.83,0
14,No,No internet service,One year,Credit card (automatic),24.8,321.7,22.98,0
45,Fiber optic,Yes,Month-to-month,Electronic check,115.65,5125.5,113.9,0
8,Fiber optic,No,Month-to-month,Credit card (automatic),74.6,548.9,68.61,0
1,DSL,No,Month-to-month,Mailed check,50.15,50.15,50.15,1
66,Fiber optic,No,One year,Bank transfer (automatic),103.15,7031.3,106.53,0
72,DSL,Yes,Two year,Credit card (automatic),72.1,5016.65,69.68,0
41,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),113.6,4594.95,112.07,1
23,No,No internet service,Two year,Mailed check,25.1,611.45,26.58,0
29,Fiber optic,No,Month-to-month,Electronic check,78.9,2384.15,82.21,1
4,Fiber optic,No,Month-to-month,Electronic check,80.15,319.85,79.96,0
6,No,No internet service,Two year,Mailed check,25.4,153.3,25.55,0
67,Fiber optic,Yes,One year,Credit card (automatic),105.4,7035.6,105.01,0
7,DSL,No,Month-to-month,Mailed check,45.75,344.2,49.17,0
56,No,No internet service,One year,Mailed check,24.45,1431.65,25.57,0
72,No,No internet service,Two year,Credit card (automatic),25.0,1849.2,25.68,0
72,DSL,No,Two year,Electronic check,85.25,6083.1,84.49,0
23,No,No internet service,Two year,Credit card (automatic),19.6,426.65,18.55,0
35,DSL,No,Month-to-month,Mailed check,50.15,1655.35,47.3,0
27,Fiber optic,No,Month-to-month,Electronic check,70.55,1943.9,72.0,0
26,DSL,Yes,Month-to-month,Electronic check,60.05,1616.15,62.16,1
12,No,No internet service,One year,Mailed check,26.4,314.95,26.25,0
40,No,No internet service,Two year,Mailed check,20.15,804.85,20.12,0
7,DSL,No,Month-to-month,Mailed check,58.85,465.7,66.53,0
70,Fiber optic,No,Month-to-month,Credit card (automatic),97.55,6669.05,95.27,0
60,No,No internet service,Two year,Credit card (automatic),19.65,1161.75,19.36,0
39,DSL,No,One year,Credit card (automatic),25.25,947.75,24.3,0
72,Fiber optic,Yes,Two year,Credit card (automatic),114.45,8375.05,116.32,0
1,DSL,No,Month-to-month,Electronic check,34.7,34.7,34.7,1
54,DSL,Yes,One year,Electronic check,70.7,3770.0,69.81,0
3,Fiber optic,No,Month-to-month,Electronic check,85.3,264.8,88.27,1
63,DSL,Yes,Two year,Credit card (automatic),75.55,4707.85,74.73,0
71,Fiber optic,Yes,Two year,Electronic check,84.8,6152.4,86.65,0
42,No,No internet service,One year,Mailed check,20.65,958.1,22.81,0
47,No,No internet service,Two year,Bank transfer (automatic),20.45,943.0,20.06,0
66,Fiber optic,No,One year,Credit card (automatic),102.45,6615.15,100.23,1
21,Fiber optic,No,Month-to-month,Bank transfer (automatic),104.4,2200.25,104.77,1
11,DSL,Yes,Month-to-month,Electronic check,35.65,425.1,38.65,0
1,Fiber optic,No,Month-to-month,Electronic check,99.75,99.75,99.75,1
55,Fiber optic,Yes,Month-to-month,Electronic check,90.45,5044.8,91.72,0
69,Fiber optic,Yes,Two year,Credit card (automatic),97.65,6743.55,97.73,0
3,Fiber optic,No,Month-to-month,Electronic check,73.85,196.4,65.47,0
4,DSL,Yes,Month-to-month,Electronic check,74.4,299.7,74.92,1
30,DSL,Yes,Two year,Credit card (automatic),69.1,2093.9,69.8,0
5,Fiber optic,Yes,Month-to-month,Electronic check,82.75,417.75,83.55,0
71,No,No internet service,Two year,Credit card (automatic),24.4,1725.4,24.3,0
29,DSL,No,One year,Electronic check,55.25,1620.2,55.87,0
52,DSL,Yes,Month-to-month,Bank transfer (automatic),61.35,3169.55,60.95,0
68,DSL,No,One year,Credit card (automatic),76.75,5233.25,76.96,0
46,No,No internet service,Two year,Mailed check,19.4,967.85,21.04,0
8,DSL,No,Month-to-month,Credit card (automatic),54.75,438.05,54.76,0
72,No,No internet service,Two year,Credit card (automatic),19.7,1421.9,19.75,0
17,No,No internet service,One year,Bank transfer (automatic),19.9,323.15,19.01,0
3,Fiber optic,Yes,Month-to-month,Electronic check,107.95,318.6,106.2,0
2,Fiber optic,No,Month-to-month,Bank transfer (automatic),83.8,163.7,81.85,0
9,Fiber optic,No,Month-to-month,Credit card (automatic),74.25,639.65,71.07,1
51,DSL,No,One year,Credit card (automatic),56.4,2928.5,57.42,0
6,No,No internet service,Two year,Mailed check,20.1,100.35,16.72,0
3,Fiber optic,No,Month-to-month,Electronic check,94.9,273.2,91.07,0
17,Fiber optic,No,Month-to-month,Electronic check,94.2,1608.15,94.6,0
30,DSL,No,Month-to-month,Electronic check,49.9,1441.95,48.07,0
31,DSL,Yes,Month-to-month,Electronic check,71.05,2168.15,69.94,0
45,DSL,Yes,Two year,Bank transfer (automatic),81.65,3618.7,80.42,0
64,Fiber optic,No,One year,Bank transfer (automatic),89.45,5692.65,88.95,0
1,DSL,No,Month-to-month,Electronic check,59.85,59.85,59.85,1
1,Fiber optic,No,Month-to-month,Electronic check,69.6,69.6,69.6,1
61,Fiber optic,No,One year,Electronic check,99.0,5969.3,97.86,0
1,No,No internet service,Month-to-month,Mailed check,19.05,19.05,19.05,0
9,DSL,No,Month-to-month,Electronic check,45.4,418.8,46.53,1
72,Fiber optic,Yes,Two year,Bank transfer (automatic),114.45,8100.55,112.51,0
1,No,No internet service,Month-to-month,Mailed check,19.5,19.5,19.5,1
7,DSL,No,Month-to-month,Mailed check,44.25,313.45,44.78,0
66,Fiber optic,Yes,One year,Bank transfer (automatic),90.55,6130.95,92.89,0
1,Fiber optic,No,Month-to-month,Electronic check,69.9,69.9,69.9,1
40,No,No internet service,Month-to-month,Bank transfer (automatic),20.4,745.3,18.63,0
16,DSL,No,Month-to-month,Bank transfer (automatic),71.4,1212.1,75.76,0
2,Fiber optic,No,Month-to-month,Bank transfer (automatic),87.15,183.75,91.88,1
67,No,No internet service,Two year,Credit card (automatic),24.85,1583.5,23.63,0
41,Fiber optic,No,One year,Bank transfer (automatic),104.45,4162.05,101.51,0
56,No,No internet service,Two year,Credit card (automatic),19.8,1119.9,20.0,0
72,Fiber optic,Yes,Two year,Bank transfer (automatic),116.45,8013.55,111.3,0
3,Fiber optic,No,Month-to-month,Bank transfer (automatic),84.75,264.85,88.28,1
54,No,No internet service,Two year,Credit card (automatic),20.05,1102.4,20.41,0
52,Fiber optic,Yes,Month-to-month,Electronic check,110.75,5832.0,112.15,0
50,Fiber optic,Yes,Two year,Bank transfer (automatic),89.7,4304.5,86.09,0
14,Fiber optic,Yes,Month-to-month,Electronic check,89.95,1178.4,84.17,1
27,DSL,No,One year,Credit card (automatic),48.7,1421.75,52.66,0
72,Fiber optic,Yes,Two year,Bank transfer (automatic),96.6,6827.5,94.83,0
62,DSL,No,One year,Credit card (automatic),74.3,4698.05,75.78,0
12,DSL,Yes,Month-to-month,Electronic check,54.3,654.5,54.54,0
44,DSL,Yes,One year,Bank transfer (automatic),74.85,3268.05,74.27,0
54,Fiber optic,Yes,Two year,Bank transfer (automatic),79.95,4362.05,80.78,0
68,No,No internet service,Two year,Bank transfer (automatic),20.05,1386.9,20.4,0
20,No,No internet service,Month-to-month,Mailed check,19.4,415.4,20.77,0
50,DSL,No,One year,Bank transfer (automatic),54.9,2614.1,52.28,0
58,No,No internet service,Two year,Credit card (automatic),24.45,1513.6,26.1,0
35,Fiber optic,No,Month-to-month,Bank transfer (automatic),89.65,3161.6,90.33,0
2,DSL,No,Month-to-month,Electronic check,45.4,80.95,40.48,0
63,DSL,Yes,Two year,Mailed check,75.7,4676.7,74.23,0
58,Fiber optic,No,One year,Credit card (automatic),110.65,6526.65,112.53,0
27,No,No internet service,One year,Mailed check,20.55,583.3,21.6,0
71,Fiber optic,Yes,Two year,Credit card (automatic),115.15,8078.1,113.78,0
63,DSL,No,One year,Credit card (automatic),58.55,3503.5,55.61,0
71,Fiber optic,No,Month-to-month,Bank transfer (automatic),93.25,6669.45,93.94,0
41,Fiber optic,No,Month-to-month,Electronic check,113.2,4689.5,114.38,1
13,Fiber optic,No,Month-to-month,Electronic check,90.5,1201.15,92.4,1
2,Fiber optic,No,Month-to-month,Electronic check,79.0,143.65,71.82,1
68,No,No internet service,Two year,Bank transfer (automatic),19.35,1292.65,19.01,0
1,DSL,No,Month-to-month,Mailed check,48.75,48.75,48.75,0
65,Fiber optic,Yes,Two year,Electronic check,109.05,7108.2,109.36,0
72,No,No internet service,Two year,Bank transfer (automatic),25.0,1802.55,25.04,0
28,DSL,Yes,Month-to-month,Credit card (automatic),54.9,1505.15,53.76,0
72,No,No internet service,Two year,Credit card (automatic),24.75,1859.1,25.82,0
2,Fiber optic,No,Month-to-month,Electronic check,91.15,168.5,84.25,0
18,No,No internet service,One year,Bank transfer (automatic),20.15,390.85,21.71,1
60,Fiber optic,No,One year,Electronic check,104.35,6339.45,105.66,0
26,DSL,Yes,Month-to-month,Electronic check,66.05,1652.4,63.55,0
1,Fiber optic,No,Month-to-month,Electronic check,71.65,71.65,71.65,1
4,No,No internet service,Month-to-month,Mailed check,20.35,77.5,19.38,1
68,DSL,Yes,Two year,Credit card (automatic),92.2,6392.85,94.01,0
38,Fiber optic,Yes,Month-to-month,Credit card (automatic),84.25,3264.5,85.91,1
42,Fiber optic,No,One year,Bank transfer (automatic),105.2,4599.15,109.5,0
57,No,No internet service,Two year,Bank transfer (automatic),19.6,1134.25,19.9,0
54,DSL,No,Month-to-month,Electronic check,30.4,1621.35,30.02,0
12,Fiber optic,No,Month-to-month,Bank transfer (automatic),78.1,947.3,78.94,1
44,DSL,No,One year,Mailed check,61.5,2722.2,61.87,0
42,DSL,No,Month-to-month,Bank transfer (automatic),69.4,3058.3,72.82,0
72,No,No internet service,Two year,Bank transfer (automatic),24.75,1769.6,24.58,0
71,DSL,Yes,Two year,Mailed check,91.05,6293.75,88.64,0
19,Fiber optic,No,Month-to-month,Mailed check,89.65,1761.05,92.69,1
23,DSL,Yes,Month-to-month,Credit card (automatic),73.65,1642.75,71.42,0
30,No,No internet service,Two year,Credit card (automatic),19.4,578.5,19.28,0
35,No,No internet service,One year,Bank transfer (automatic),26.2,954.9,27.28,0
10,Fiber optic,No,Month-to-month,Electronic check,98.7,973.25,97.32,1
1,DSL,No,Month-to-month,Bank transfer (automatic),43.85,43.85,43.85,0
22,Fiber optic,No,Month-to-month,Mailed check,69.7,1490.4,67.75,0
7,DSL,No,Two year,Mailed check,38.55,280.0,40.0,0
36,DSL,Yes,Two year,Mailed check,53.1,1901.25,52.81,0
34,No,No internet service,Month-to-month,Mailed check,20.65,716.4,21.07,0
72,DSL,No,Two year,Credit card (automatic),64.45,4720.0,65.56,0
36,No,No internet service,Two year,Credit card (automatic),25.1,930.95,25.86,0
1,Fiber optic,No,Month-to-month,Electronic check,76.35,76.35,76.35,1
23,Fiber optic,No,Month-to-month,Electronic check,79.15,1676.95,72.91,1
32,Fiber optic,No,Month-to-month,Electronic check,85.0,2642.05,82.56,1
71,Fiber optic,Yes,One year,Credit card (automatic),95.15,6770.85,95.36,0
23,Fiber optic,No,Month-to-month,Mailed check,79.35,1835.3,79.8,0
17,Fiber optic,No,One year,Bank transfer (automatic),96.65,1588.25,93.43,0
1,DSL,Yes,Month-to-month,Electronic check,75.5,75.5,75.5,0
12,No,No internet service,Two year,Mailed check,19.7,258.35,21.53,0
72,No,No internet service,Two year,Credit card (automatic),20.5,1502.25,20.86,0
1,No,No internet service,Month-to-month,Mailed check,19.2,19.2,19.2,0
72,Fiber optic,No,Two year,Bank transfer (automatic),98.35,6929.4,96.24,0
60,Fiber optic,No,Month-to-month,Bank transfer (automatic),74.35,4453.3,74.22,0
61,DSL,Yes,Two year,Credit card (automatic),51.35,3244.4,53.19,0
6,DSL,No,Month-to-month,Mailed check,45.65,323.45,53.91,0
32,Fiber optic,No,Month-to-month,Electronic check,85.3,2661.1,83.16,1
31,Fiber optic,No,Month-to-month,Credit card (automatic),86.55,2697.4,87.01,1
19,Fiber optic,No,Month-to-month,Credit card (automatic),73.85,1424.5,74.97,1
72,No,No internet service,Two year,Bank transfer (automatic),20.3,1401.15,19.46,0
32,DSL,No,Month-to-month,Electronic check,54.2,1739.6,54.36,0
65,Fiber optic,No,Month-to-month,Electronic check,90.65,5931.0,91.25,0
45,DSL,No,Month-to-month,Bank transfer (automatic),50.9,2333.85,51.86,0
42,No,No internet service,One year,Electronic check,25.05,949.85,22.62,0
8,Fiber optic,No,Month-to-month,Electronic check,74.85,572.45,71.56,0
32,No,No internet service,Two year,Mailed check,20.5,696.8,21.78,0
22,DSL,Yes,Month-to-month,Mailed check,63.55,1381.8,62.81,0
57,DSL,No,Month-to-month,Electronic check,44.85,2572.95,45.14,1
1,DSL,No,Month-to-month,Electronic check,47.95,47.95,47.95,0
1,DSL,No,Month-to-month,Electronic check,45.1,45.1,45.1,1
1,DSL,No,Month-to-month,Electronic check,45.0,45.0,45.0,0
24,Fiber optic,Yes,Month-to-month,Electronic check,96.0,2122.45,88.44,1
1,No,No internet service,Month-to-month,Bank transfer (automatic),20.05,20.05,20.05,1
54,Fiber optic,No,Month-to-month,Electronic check,90.05,4931.8,91.33,0
4,No,No internet service,Two year,Credit card (automatic),25.3,116.95,29.24,0
65,Fiber optic,Yes,Two year,Bank transfer (automatic),108.65,6937.95,106.74,1
56,No,No internet service,One year,Electronic check,24.3,1261.7,22.53,0
45,DSL,No,Month-to-month,Electronic check,75.95,3273.8,72.75,0
71,No,No internet service,Two year,Credit card (automatic),19.7,1415.85,19.94,0
59,DSL,No,One year,Credit card (automatic),66.4,3958.2,67.09,0
69,DSL,No,One year,Bank transfer (automatic),35.75,2492.25,36.12,0
19,No,No internet service,One year,Mailed check,18.8,279.2,14.69,0
55,No,No internet service,Two year,Credit card (automatic),19.4,1083.0,19.69,0
38,No,No internet service,One year,Mailed check,19.3,755.5,19.88,0
10,DSL,No,Month-to-month,Electronic check,45.55,402.6,40.26,1
47,DSL,No,Month-to-month,Credit card (automatic),67.45,3252.0,69.19,0
2,DSL,No,Month-to-month,Electronic check,35.1,68.75,34.38,1
1,DSL,No,Month-to-month,Credit card (automatic),46.2,46.2,46.2,1
1,DSL,No,Month-to-month,Electronic check,45.15,45.15,45.15,1
1,DSL,No,Month-to-month,Electronic check,43.3,43.3,43.3,1
46,No,No internet service,Two year,Mailed check,20.1,936.85,20.37,0
38,DSL,No,Month-to-month,Credit card (automatic),57.15,2250.65,59.23,1
65,DSL,Yes,Two year,Credit card (automatic),58.9,3857.1,59.34,0
19,Fiber optic,No,Month-to-month,Electronic check,73.2,1441.1,75.85,1
52,Fiber optic,No,Month-to-month,Electronic check,85.35,4338.6,83.43,1
71,No,No internet service,Two year,Mailed check,19.45,1378.45,19.41,0
1,DSL,No,Month-to-month,Mailed check,45.95,45.95,45.95,1
52,DSL,Yes,Month-to-month,Electronic check,50.5,2566.3,49.35,0
6,No,No internet service,One year,Mailed check,25.1,171.0,28.5,0
26,DSL,No,One year,Mailed check,60.7,1597.4,61.44,0
48,Fiber optic,No,One year,Electronic check,99.0,4744.35,98.84,0
64,Fiber optic,Yes,One year,Bank transfer (automatic),104.4,6721.6,105.02,0
3,Fiber optic,No,Month-to-month,Electronic check,83.75,247.25,82.42,1
1,DSL,No,Month-to-month,Bank transfer (automatic),44.05,44.05,44.05,0
72,No,No internet service,Two year,Credit card (automatic),24.1,1734.65,24.09,0
1,DSL,No,Month-to-month,Mailed check,45.55,45.55,45.55,0
51,Fiber optic,No,Month-to-month,Electronic check,93.8,4539.35,89.01,0
41,No,No internet service,Two year,Bank transfer (automatic),19.7,804.25,19.62,0
72,DSL,No,Two year,Credit card (automatic),70.65,5011.15,69.6,0
43,DSL,Yes,Two year,Credit card (automatic),86.45,3574.5,83.13,0
72,Fiber optic,Yes,Two year,Credit card (automatic),114.1,8086.4,112.31,0
47,Fiber optic,No,One year,Credit card (automatic),95.2,4563.0,97.09,0
72,DSL,Yes,Two year,Credit card (automatic),88.55,6362.35,88.37,0
3,No,No internet service,Month-to-month,Credit card (automatic),20.75,67.1,22.37,0
1,Fiber optic,No,Month-to-month,Electronic check,70.05,70.05,70.05,1
2,Fiber optic,No,Month-to-month,Electronic check,86.0,165.45,82.72,1
26,DSL,No,Month-to-month,Bank transfer (automatic),44.65,1156.55,44.48,0
29,DSL,No,Month-to-month,Mailed check,60.2,1834.15,63.25,0
35,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),100.5,3653.35,104.38,1
27,DSL,No,One year,Bank transfer (automatic),55.45,1477.65,54.73,0
24,DSL,Yes,Month-to-month,Credit card (automatic),70.3,1706.45,71.1,0
67,DSL,Yes,Two year,Bank transfer (automatic),60.4,3953.7,59.01,0
16,Fiber optic,No,Month-to-month,Electronic check,72.65,1194.3,74.64,1
23,DSL,No,One year,Bank transfer (automatic),55.8,1327.85,57.73,0
14,DSL,No,Month-to-month,Mailed check,31.1,419.7,29.98,0
1,No,No internet service,Month-to-month,Electronic check,21.0,21.0,21.0,1
1,DSL,No,Month-to-month,Mailed check,45.1,45.1,45.1,1
4,DSL,No,Month-to-month,Credit card (automatic),50.95,207.35,51.84,0
16,DSL,No,Month-to-month,Electronic check,69.1,1083.7,67.73,0
46,DSL,No,Month-to-month,Electronic check,43.95,2007.85,43.65,0
68,DSL,Yes,Two year,Bank transfer (automatic),86.5,5882.75,86.51,0
38,DSL,Yes,Month-to-month,Electronic check,69.95,2657.55,69.94,0
30,DSL,No,Month-to-month,Bank transfer (automatic),50.4,1527.5,50.92,1
5,Fiber optic,No,Month-to-month,Electronic check,78.95,378.4,75.68,1
17,Fiber optic,No,Month-to-month,Credit card (automatic),90.95,1612.2,94.84,0
4,No,No internet service,Two year,Mailed check,19.9,76.65,19.16,0
12,No,No internet service,One year,Electronic check,20.15,260.7,21.72,0
72,DSL,Yes,Two year,Credit card (automatic),90.6,6441.85,89.47,0
3,Fiber optic,No,Month-to-month,Electronic check,92.0,266.8,88.93,0
56,Fiber optic,Yes,Month-to-month,Electronic check,94.45,5124.6,91.51,1
41,No,No internet service,One year,Mailed check,24.85,962.25,23.47,0
40,DSL,Yes,One year,Credit card (automatic),36.0,1382.9,34.57,0
